ID,Table,Component_Head,Work,Range,Site,Physical,Sanctioned_Lakh,Upto_Last_Month,Current_Month,Total_Exp,Balance
1,Table 1 - Compensatory Afforestation (CA),CA Plantations,1st year (Site Preparation),Tamnar,Kachkoba Khasra 468/26,12.116,52.87,3354771,75600,3430371,1856629
2,Table 1 - Compensatory Afforestation (CA),CA Plantations,1st year (Site Preparation),Tamnar,Kachkoba Khasra 497,12.147,51.43,2515423,248809,2764232,2378768
3,Table 1 - Compensatory Afforestation (CA),CA Plantations,1st year (Site Preparation),Tamnar,"Jamdabri, Tehsil Tamnar 51/1",1.400,4.47,248652,156942,405594,41406
4,Table 1 - Compensatory Afforestation (CA),CA Plantations,1st year (Site Preparation),Gharghoda,"Gharghodi 385/1,2, 386/1,5",4.578,22.97,1580255,28350,1608605,688395
5,Table 1 - Compensatory Afforestation (CA),CA Plantations,1st year (Site Preparation),Gharghoda,Bhengari Khasra 128/2 (Charmar),3.035,13.56,841002,18900,859902,496098
6,Table 1 - Compensatory Afforestation (CA),CA Plantations,1st year (Site Preparation),Raigarh,Village - Natwarpur,95.460,261.86,8475845,2834777,11310622,14875378
7,Table 1 - Compensatory Afforestation (CA),CA Plantations,1st year (Site Preparation),Raigarh,Village - Chakradharpur,115.184,325.36,15645606,4514114,20159720,12376280
8,Table 1 - Compensatory Afforestation (CA),CA Plantations,1st year (Site Preparation),Raigarh,Village - Bangursiya,4.225,19.70,1379621,164061,1543682,426318
9,Table 1 - Compensatory Afforestation (CA),CA Plantations,1st year (Site Preparation),Raigarh,Village - Gudgahan,-,140.14,7066506,1243921,8310427,5703573
10,Table 1 - Compensatory Afforestation (CA),CA Plantations,1st year (Site Preparation),Raigarh,Village - Chhuhipali,-,85.24,3687579,1671461,5359040,3164960
11,Table 1 - Compensatory Afforestation (CA),Penal CA (PCA),1st year (Site Preparation),Kharsia,1163 PF Banjarbhatha,2.800,6.52,469665,86111,555776,96224
12,Table 1 - Compensatory Afforestation (CA),CA Creation & Maintenance (2nd-10th Yr),a) 2nd Year (Plantation),Tamnar,784 RF Kodkel +100 vriksh,0.437,1.87,41773,0,41773,145227
13,Table 1 - Compensatory Afforestation (CA),CA Creation & Maintenance (2nd-10th Yr),a) 2nd Year (Plantation),Tamnar,Kachkoba Kh.No. 468/1,14.998,29.47,290998,0,290998,2656002
14,Table 1 - Compensatory Afforestation (CA),CA Creation & Maintenance (2nd-10th Yr),a) 2nd Year (Plantation),Gharghoda,"Kh.No. 547/1,2,3,4, 551/1, 552, 553/1 Jarkat",6.282,12.56,1253729,2261,1255990,10
15,Table 1 - Compensatory Afforestation (CA),CA Creation & Maintenance (2nd-10th Yr),a) 2nd Year (Plantation),Kharsia,1185 PF Binjkot (Pahadmuda),14.022,27.55,1126467,451339,1577806,1177194
16,Table 1 - Compensatory Afforestation (CA),CA Creation & Maintenance (2nd-10th Yr),a) 2nd Year (Plantation),Raigarh,1021 OA Borodipa,7.685,15.10,380058,43408,423466,1086534
17,Table 1 - Compensatory Afforestation (CA),CA Creation & Maintenance (2nd-10th Yr),a) 2nd Year (Plantation),Raigarh,1029 OA Tekadwar,3.417,6.78,499376,17442,516818,161182
18,Table 1 - Compensatory Afforestation (CA),CA Creation & Maintenance (2nd-10th Yr),a) 2nd Year (Plantation),Raigarh,1023 OA Odekera,8.076,15.87,197990,0,197990,1389010
19,Table 1 - Compensatory Afforestation (CA),CA Creation & Maintenance (2nd-10th Yr),b) 3rd year Maintenance,Gharghoda,1368 OA (Widening PMGSY NTPC),3.464,1.74,170109,0,170109,3891
20,Table 1 - Compensatory Afforestation (CA),CA Creation & Maintenance (2nd-10th Yr),b) 3rd year Maintenance,Gharghoda,1368 OA (MGR Railway Line Tilaipali NTPC),17.590,8.85,884932,0,884932,68
21,Table 1 - Compensatory Afforestation (CA),CA Creation & Maintenance (2nd-10th Yr),c) 6th year Maintenance,Raigarh,941 PF,1.640,0.10,0,0,0,10000
22,Table 1 - Compensatory Afforestation (CA),CA Creation & Maintenance (2nd-10th Yr),c) 6th year Maintenance,Raigarh,941 PF,1.640,0.10,0,0,0,10000
23,Table 1 - Compensatory Afforestation (CA),CA Creation & Maintenance (2nd-10th Yr),c) 6th year Maintenance,Kharsia,1160 P,1.800,0.12,12000,0,12000,0
24,Table 1 - Compensatory Afforestation (CA),CA Creation & Maintenance (2nd-10th Yr),c) 6th year Maintenance,Kharsia,1187 P,30.000,1.92,116464,0,116464,75536
25,Table 1 - Compensatory Afforestation (CA),CA Creation & Maintenance (2nd-10th Yr),c) 6th year Maintenance,Kharsia,1187 P,20.000,1.28,116464,0,116464,11536
