Table,Table Name,FC Project,Activity Group,Vidhan Sabha,Range,Activity / Works,Location (FC),Phys Proposed,Fin Proposed 2026-27,Total Expenditure,Balance Amount,Note
1,Table 1 - CA / PCA,Establishment of Cement Plant Jindal Panther Cement Pvt. Ltd (0.836 ha.),Compensatory Afforestation Plantations,,Kharsia,1st year (Site Preparation),1163 PF,0.1,0.47,0.000,0.470,
1,Table 1 - CA / PCA,Construction of Approach Road for Gharghoda siding in Favor of CSPGCL (0.965 ha),Compensatory Afforestation Plantations,,Kharsia,1st year (Site Preparation),1163 PF,1.653,7.72,0.000,7.720,
1,Table 1 - CA / PCA,Solar Light Project in Urdana Hill (0.640 ha),Compensatory Afforestation Plantations,,Kharsia,1st year (Site Preparation),1163 PF,0.5,2.33,0.000,2.330,
1,Table 1 - CA / PCA,SECL Jampali,Compensatory Afforestation Plantations,,Kharsia,1st year (Site Preparation),1161 PF,32.0,149.44,0.000,149.440,
1,Table 1 - CA / PCA,SECL Jampali,Compensatory Afforestation Plantations,,Gharghoda,1st year (Site Preparation),1235 PF,5.0,23.35,0.000,23.350,
1,Table 1 - CA / PCA,"Proposed 132/33 kv Sub-Station Medical Collage at Village Boirdih, Raigarh (2.023 ha)",Compensatory Afforestation Plantations,,Raigarh,1st year (Site Preparation),"Kh. No. 244/1, 244/2",4.216,19.69,0.000,19.690,
1,Table 1 - CA / PCA,"TRN Energy Private Limited, Village- Bhengari (Tenda Nawapara) Approach road Plant to Hostel (0.643 ha) PCA",Penal Compensatory Afforestation (PCA),,Kharsia,1st year (Site Preparation),1163 PF,2.572,12.01,0.000,12.010,
1,Table 1 - CA / PCA,Construction of MGR Railway line NTPC Tallaipali (8.795 ha) PCA,Penal Compensatory Afforestation (PCA),,Gharghoda,1st year (Site Preparation),OA Baigabahri (west),1.4,6.54,0.000,6.540,
1,Table 1 - CA / PCA,"Gare Pelma IV/1 Coal Mines, Ms. Jindal Power Limited","Maintenance of Committed liabilities Old CA Plantation, Other Mandatory Actitivities & Wildlife Management Plan ( 2nd Yr. To 10th Yr.)",,Tamnar,a) 2nd Year (Plantation),Kachkoba Khasra No. 468/26,12.116,16.42,0.000,16.420,
1,Table 1 - CA / PCA,"Gare Pelma IV/1 Coal Mines, Ms. Jindal Power Limited","Maintenance of Committed liabilities Old CA Plantation, Other Mandatory Actitivities & Wildlife Management Plan ( 2nd Yr. To 10th Yr.)",,Tamnar,a) 2nd Year (Plantation),Kachkoba Khasra No. 497,12.147,16.46,0.000,16.460,
