Month,Section,Scheme_Code,Scheme_Name,Allocation,Upto_Last_Month,Current_Month,Total_Exp
Aug-2026,10-2406 आयोजनेत्तर,4349,सड़कों का निर्माण तथा सड़क एवं पुल,500000,0,0,0
Aug-2026,10-2406 आयोजनेत्तर,6218,भवनों का मरम्मत,600000,0,0,0
Aug-2026,10-2406 आयोजनेत्तर,813,कार्यकारी योजनाएं तथा अतिक्रमण व्यवस्थापन कार्य,250000,0,0,0
Aug-2026,10-2406 आयोजनेत्तर,3836,"उत्पादन वनमंडल राजकीय व्यापार राष्ट्रीयकृत इमारती लकड़ी , खैर एवं बांस",2000,0,0,0
Aug-2026,10-2406 आयोजनेत्तर,3877,क्षेत्रीय वन मण्डल,5361000,2984925,693824,3678749
Aug-2026,10-2406 आयोजनेत्तर,3531,प्राकृतिक पुनरोत्पादन का (बांस वनों सहित) संरक्षण,32402000,973142,2484899,3458041
Aug-2026,10-2406 आयोजनेत्तर,535,इमारती लकड़ी,6080247,2267295,341236,2608531
Aug-2026,10-2406 आयोजनेत्तर,2901,बांस,4200000,361830,39451,401281
Aug-2026,10-2406 आयोजना,2536,पर्यावरण वानिकी,500000,0,0,0
Aug-2026,10-2406 आयोजना,2965,बिगड़े वनों का सुधार बांस वनों सहित,24868000,201296,65850,267146
Aug-2026,10-2406 आयोजना,6827,भूजल एवं जल संरक्षण कार्य,23703000,12919497,767242,13686739
Aug-2026,10-2406 आयोजना,1902,तेजी से बढ़ने वाले वृक्षारोपण बांस रोपण सहित,68000,0,0,0
Aug-2026,10-2406 आयोजना,6724,बांस वनों का पुनरोद्धार,401000,69929,0,69929
Aug-2026,10-2406 आयोजना,7089,किसान वृक्ष मित्र योजना,535537,22400,0,22400
Aug-2026,10-2406 आयोजना,8480,वनों में अग्नि प्रबंधन योजना,287578,0,0,0
Aug-2026,10-4406 आयोजना,8480,वनों में अग्नि प्रबंधन योजना,60369,0,0,0
Aug-2026,41-2406 आयोजना,6992,वन अधिकारों की मान्यता,4680,0,0,0
Aug-2026,64-2406 अनुसूचित जाति उपयोजना,2962,बिगड़े वनों का सुधार,7373000,1234115,1330440,2564555
Aug-2026,64-2406 अनुसूचित जाति उपयोजना,6724,बांस वनों का पुनरोद्धार,2187000,605520,74197,679717
